사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차
Jun-24,1호선,150,서울역,654,20,8727,9083,13812,56637,40205,115372,68945,224224,68501,148949,64033,84806,80465,78221,92965,85212,90511,83798,76623,77626,102529,83324,117095,84550,177388,92535,213330,92134,117088,65163,83718,48189,88671,43936,57325,28721,27544,13883,2863,3984,3,215,0,0,0,0
Jun-24,1호선,151,시청,74,0,2105,5374,4050,25949,7703,71550,10616,183563,12972,86971,14960,45561,20622,43620,23185,41428,30439,41071,37874,31530,48033,27954,59520,27055,91916,28354,150891,25133,60380,12478,55321,8931,49502,8402,30045,6340,10250,3898,502,991,1,38,0,0,0,0
Jun-24,1호선,152,종각,132,7,4291,5787,4312,32747,6588,106889,10892,249815,13378,138844,19177,63520,28571,61655,35435,55161,43637,53368,53374,45032,65195,40184,80051,44080,145386,47291,202356,48025,91106,22722,81222,12570,85689,9669,61865,7016,26952,4587,1676,1300,0,0,0,0,0,0
Jun-24,1호선,153,종로3가,206,13,4296,3015,3961,13851,5968,28024,10284,65287,15280,64208,21306,54327,31225,64449,41877,63668,46714,56988,54115,49440,61719,43139,69276,42851,81036,40724,89429,40553,56145,21628,50353,12861,53975,10546,41316,8280,18427,5240,1765,2042,2,6,0,0,0,0
Jun-24,1호선,154,종로5가,42,2,2053,3522,3089,17690,5783,40044,10330,91110,15744,63157,25936,58515,36916,61008,45736,55596,51704,50728,58012,46226,60944,39155,66041,38006,81031,33990,89164,30172,45102,17925,33541,10700,32161,7569,19629,5663,5933,3597,334,1000,0,0,0,0,0,0
Jun-24,1호선,155,동대문,637,17,11629,2054,9170,7799,14940,12387,20147,20487,19887,22936,18625,25400,20137,28046,24098,26767,24971,24283,26360,23643,27299,21995,27640,22079,25914,21400,23860,21715,17367,20641,15865,15439,14470,13976,11195,13893,5539,9186,719,2607,5,234,0,0,0,0
Jun-24,1호선,156,신설동,315,24,9060,2490,10184,10152,21371,25480,29824,53195,21553,32732,19534,21495,20791,19035,23098,19264,24022,19538,22840,17809,25071,20436,29303,22128,40751,24272,51083,29256,20348,21601,14863,15261,12968,15469,9238,14151,3890,9231,392,2769,1,1,0,0,0,0
Jun-24,1호선,157,제기동,441,5,5383,2692,9411,10408,21913,22394,31158,40556,25233,36891,27814,39482,33780,41560,37293,41933,36971,42137,39753,39168,42898,34864,43927,33812,42676,28859,39527,27289,21302,17634,15076,12194,9781,11172,5860,9620,2537,6151,182,1491,0,0,0,0,0,0
Jun-24,1호선,158,청량리(서울시립대입구),1209,19,11878,3318,19612,11485,48626,18558,58534,39162,39121,39152,35432,42298,40503,48070,44926,48320,45720,49298,47156,48172,51634,46283,56458,47498,53582,48809,46979,58675,27899,37627,22694,23559,17252,23600,10845,19925,4318,12297,334,3743,0,0,0,1,0,0
